 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Total Asset Turnover, Fixed Assets Turnover Frequency, Revenue per person, Operating profit per person, Working Capital to Total Assets, Quick Assets/Total Assets, Cash/Total Assets, Cash/Current Liability, Current Liability to Assets, Total expense/Assets, Cash Turnover Rate, Fixed Assets to Assets, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Net Income to Total Assets, Equity to Liability,Bankrupt?
0.474918344,0.53368949,0.529739279,0.0,0.176351608,0.176351608,0.176351608,0.214616621,0.095269115,0.169993221,0.089246304,0.910753696,0.00518808,0.373851164,0.095274154,0.168984239,0.070464768,8250000000.0,0.008895025,0.391985708,0.790928956,0.204896475,0.032718875,0.001922046,0.090050943,0.013041646,5060000000.0,0.429477803,0.111618064,0.65060025,0.461423945,0.576953451,0.796865414,0.04284071,0
0.442499878,0.507195813,0.494940843,0.0,0.170199317,0.170199317,0.170199317,0.206296681,0.091604918,0.163214582,0.114339269,0.885660731,0.007366104,0.376006245,0.091797352,0.162619712,0.133433283,0.00071716,0.043526284,0.38703331,0.80686766,0.434823203,0.009646615,0.000725298,0.070253348,0.029600597,809000000.0,0.083269907,0.11880928,0.642320732,0.459139981,0.51676242,0.780904873,0.032862358,0
0.54170526,0.608046228,0.590127951,0.141917198,0.20129788,0.20129788,0.20129788,0.248085468,0.111065874,0.201174964,0.121625299,0.878374701,0.019215619,0.373741565,0.111078542,0.200211145,0.242878561,0.009751256,0.124733046,0.413491328,0.788350764,0.511800269,0.038440057,0.00164453,0.12382881,0.013980394,1970000000.0,0.011553423,0.110933234,0.651888156,0.461140062,0.580822037,0.832889625,0.030706404,0
0.590113587,0.611753162,0.634991167,0.086648446,0.203826219,0.203826219,0.203826219,0.245438215,0.122954157,0.19545078,0.022674366,0.977325634,0.005266195,0.369637181,0.122974579,0.194480054,0.115442279,0.000136926,0.011779739,0.40158522,0.873352424,0.500338929,0.372755225,0.074423575,0.026157935,0.008261482,0.000343729,0.47518488,0.110933234,0.642770967,0.459121413,0.713684158,0.844408117,0.159041554,0
0.501876859,0.54769952,0.562556882,0.0,0.180481227,0.180481227,0.180481227,0.21716933,0.098037619,0.172026813,0.059678931,0.940321069,0.006528565,0.370638114,0.098001856,0.170439635,0.047976012,0.000158865,0.001827182,0.392630198,0.923511033,0.583712634,0.51102537,0.044096691,0.061151661,0.029471394,0.001759956,0.126543383,0.111328463,0.874109759,0.553951315,0.545538407,0.801562099,0.064648238,0
0.445229854,0.500272569,0.500990417,0.0,0.156377734,0.156377734,0.156377734,0.205634868,0.092500611,0.160804399,0.158327539,0.841672461,0.005162886,0.375790401,0.092489456,0.159791871,0.16191904,0.000250401,0.016714892,0.390787183,0.775725845,0.342297898,0.128716154,0.004736549,0.144040579,0.045303074,803000000.0,0.339423332,0.115215104,0.642280975,0.459169896,0.616109535,0.774922308,0.022788275,0
0.480865792,0.546990842,0.529953424,0.193035732,0.188108381,0.188108381,0.188108381,0.218682046,0.092582037,0.174964224,0.058348702,0.941651298,0.011828019,0.370418916,0.092725585,0.173697308,0.088455772,0.00128302,0.029511038,0.38853712,0.806475438,0.355070845,0.184521773,0.016204449,0.060079325,0.008650838,0.000232806,0.03200562,0.110933234,0.651794539,0.462980901,0.556457487,0.805229609,0.066087491,0
0.484960757,0.539576973,0.538786873,0.071161049,0.168682314,0.168682314,0.168682314,0.217736598,0.095757674,0.171424268,0.039453397,0.960546603,0.005888106,0.369637181,0.095730128,0.170469799,0.061469265,0.000147517,0.012308506,0.392607585,0.835066539,0.38072166,0.213727256,0.029020235,0.038688334,0.029535064,0.000388952,0.209482079,0.110933234,0.692111761,0.488690157,0.592409897,0.800956986,0.096441088,0
0.573879979,0.614751417,0.635205311,0.023686608,0.23252286,0.23252286,0.23252286,0.262078094,0.136796678,0.212397379,0.124134595,0.875865405,0.005005601,0.3747,0.136759653,0.208913355,0.053973013,3710000000.0,0.041334841,0.453924606,0.757458741,0.241130982,0.178137294,0.012790541,0.073588029,0.003248308,0.000434664,0.753413468,0.120514753,0.688009274,0.468477677,0.645362153,0.832858821,0.030017443,0
0.548920197,0.586840384,0.588040045,0.285049094,0.185032236,0.185032236,0.185032236,0.248841827,0.133702467,0.204187693,0.165220546,0.834779454,0.006599672,0.369637181,0.133665543,0.202782596,0.556221889,0.004392982,0.023806237,0.395660433,0.831303271,0.512634997,0.058229369,0.001831464,0.168603628,0.140995126,1170000000.0,0.066925313,0.110933234,0.643469564,0.459358036,0.667640592,0.827921189,0.021679963,0
0.430702481,0.484354557,0.482681086,0.0,0.161223716,0.161223716,0.161223716,0.20090763,0.088022148,0.156435942,0.139795024,0.860204976,0.005086857,0.376311557,0.087986712,0.155448307,0.067466267,9000000000.0,0.008668831,0.388186608,0.746596407,0.269864737,0.026644177,0.00108179,0.130504102,0.054851995,3990000000.0,0.410732963,0.111365344,0.637808624,0.45834264,0.564298718,0.762572121,0.026277723,0
0.534490323,0.596216747,0.588521869,0.0,0.368968859,0.368968859,0.368968859,0.335539378,0.211464864,0.265797997,0.184055386,0.815944614,0.005344392,0.38485024,0.211124139,0.264693462,0.136431784,0.000201985,0.048631817,0.417120825,0.807811536,0.314554525,0.034877013,0.002915152,0.063147523,0.005962735,3650000000.0,0.355805712,0.142654353,0.656180293,0.461119554,0.543490195,0.822636855,0.019072682,0
0.49027446,0.538541212,0.538947481,0.049701387,0.199190932,0.199190932,0.199190932,0.218492956,0.098689032,0.17172554,0.120506696,0.879493304,0.006074312,0.37512945,0.098604394,0.17065078,0.065967016,0.000187611,0.01674133,0.39402094,0.768086366,0.186721594,0.026527695,0.002699484,0.051782344,0.012715904,4330000000.0,0.173635085,0.122797515,0.634481438,0.457499674,0.588438925,0.798300595,0.031018534,0
0.6056647,0.672045355,0.674286632,0.0,0.182335342,0.182335342,0.182335342,0.251016356,0.128409739,0.198764781,0.089216072,0.910783928,0.005447479,0.369637181,0.128429984,0.196041023,0.205397301,0.000417587,0.006665394,0.397073788,0.867534981,0.682664734,0.299740691,0.016642859,0.095301087,0.022462868,0.000208211,0.271022478,0.110933234,0.706925094,0.477212226,0.65755493,0.85914514,0.042856224,0
0.573441232,0.640263846,0.630172921,0.057293248,0.216678606,0.216678606,0.216678606,0.263496265,0.138995196,0.212096106,0.064697524,0.935302476,0.005490304,0.370720873,0.139015096,0.21019531,0.176911544,0.000273852,0.016738393,0.403292553,0.877622489,0.508785069,0.297623428,0.035763211,0.043779242,0.028871918,0.000198027,0.313838003,0.113813612,0.70573801,0.483121698,0.65288653,0.854773018,0.059613817,0
0.476185833,0.519733973,0.51126934,0.0,0.152374531,0.152374531,0.152374531,0.209416659,0.095350541,0.17006854,0.162771714,0.837228286,0.005032297,0.379978662,0.095323009,0.169097353,0.076461769,7410000000.0,0.011101156,0.392030936,0.751888756,0.253560482,0.020511436,0.000855262,0.127062917,0.030225493,2830000000.0,0.504596784,0.118177044,0.636340909,0.458240215,0.559680309,0.78493782,0.022063246,0
0.534100327,0.584986917,0.577814658,0.168033202,0.19063672,0.19063672,0.19063672,0.236929186,0.109274489,0.191684869,0.140490371,0.859509629,0.005438552,0.376348463,0.109279072,0.190619109,0.070464768,0.00013617,0.012581702,0.398238394,0.750042555,0.180071764,0.051130683,0.003491486,0.077401716,0.015427189,8270000000.0,0.261427295,0.118755774,0.643058554,0.459297876,0.599494297,0.821743765,0.026130588,0
0.579973675,0.624781945,0.617538412,0.185747545,0.2218617,0.2218617,0.2218617,0.262834452,0.141682273,0.219326655,0.095020709,0.904979291,0.005169755,0.372784248,0.141677659,0.218414901,0.212893553,0.000251914,0.097545643,0.439904118,0.793066658,0.201186009,0.028794703,0.001882861,0.08085137,0.015823294,1590000000.0,0.451885493,0.112839675,0.634921935,0.457161142,0.6386474,0.846106942,0.040096534,0
0.493833179,0.591146969,0.536217142,0.167020954,0.190257469,0.190257469,0.190257469,0.221612934,0.105284586,0.190931686,0.080176558,0.919823442,0.007167607,0.370232149,0.105264872,0.189917804,0.178410795,0.000532574,0.019749423,0.39567174,0.891230363,0.725072279,0.393125627,0.02453507,0.084733276,0.021724283,0.000241682,0.084383857,0.110933234,0.817842504,0.513537652,0.603138633,0.830716241,0.047903515,0
0.513869254,0.5611099,0.554312329,0.283125822,0.187476297,0.187476297,0.187476297,0.222652926,0.109437342,0.180387136,0.062732412,0.937267588,0.005359187,0.370672783,0.10909994,0.179443481,0.131934033,0.000196689,0.0076818,0.395117704,0.810266667,0.287886798,0.101244278,0.009602205,0.055594892,0.026448365,8540000000.0,0.347774568,0.110971709,0.638231384,0.457438359,0.634263249,0.813265898,0.061498973,0
0.468775898,0.45142826,0.503346004,0.0,0.156630568,0.156630568,0.156630568,0.18663137,0.073609641,0.142351435,0.192066995,0.807933005,0.005064499,0.387554436,0.074397056,0.142394993,0.050974513,4310000000.0,0.009256349,0.379876077,0.779778748,0.242055947,0.097412269,0.007175244,0.071720821,0.014476731,0.000190653,0.631401899,0.146268182,0.60708246,0.454486094,0.593982242,0.741395798,0.018117464,0
0.542144006,0.596053205,0.585042026,0.213786821,0.184610847,0.184610847,0.184610847,0.236172828,0.116358603,0.191458914,0.078332376,0.921667624,0.006012132,0.369637181,0.116338528,0.190475831,0.133433283,0.000419856,0.025269157,0.407023812,0.848967006,0.604278223,0.286493303,0.018656023,0.081189349,0.034864012,0.000239623,0.160953073,0.110933234,0.646384719,0.460370511,0.644128577,0.833186683,0.049074638,0
0.504070589,0.539140863,0.56041544,0.0,0.162235051,0.162235051,0.162235051,0.215656613,0.097874766,0.170595767,0.141518276,0.858481724,0.005046201,0.378506899,0.097887863,0.169504562,0.056971514,4610000000.0,0.006251193,0.393252075,0.761049303,0.268057312,0.063513068,0.003523472,0.095383707,0.021145927,0.00012852,0.59947086,0.120824647,0.657878683,0.461963162,0.57752938,0.797366168,0.025920184,0
0.471798372,0.54273877,0.531559505,0.0,0.177868611,0.177868611,0.177868611,0.217074785,0.095187688,0.170972358,0.063216132,0.936783868,0.005598563,0.370020779,0.095152018,0.170002262,0.124437781,0.000261748,0.0165592,0.391917867,0.794639198,0.276874434,0.032506882,0.00353934,0.048365485,0.024355866,2960000000.0,0.252637156,0.110933234,0.635624633,0.456439547,0.585032645,0.802682773,0.061035889,0
0.486423244,0.548244658,0.537502008,0.184127948,0.220428975,0.220428975,0.220428975,0.224165642,0.102271802,0.179257362,0.099495117,0.900504883,0.005459492,0.370776791,0.102024199,0.178123822,0.142428786,0.0002852,0.018718329,0.393862644,0.782076212,0.355596048,0.120667381,0.00618064,0.103348767,0.019053496,9240000000.0,0.253515171,0.110933234,0.619810796,0.453435116,0.553138464,0.805548102,0.038183901,0
0.504704334,0.549171391,0.535949462,0.5917603,0.179469892,0.179469892,0.179469892,0.219532949,0.110251608,0.181140318,0.052453366,0.947546634,0.006152399,0.370428981,0.110280587,0.17868939,0.098950525,0.000319999,0.014423571,0.401573913,0.816290754,0.311010238,0.218175951,0.023681611,0.048516714,0.037820258,0.000233525,0.162356842,0.110933234,0.669455804,0.471517462,0.629891349,0.806820093,0.073415642,0
0.497879394,0.578826864,0.550939558,0.045753619,0.262230837,0.262230837,0.262230837,0.254609057,0.126536927,0.213150561,0.155001965,0.844998035,0.020930436,0.372869244,0.125979123,0.211484805,0.322338831,0.017531079,0.634792826,0.461590647,0.777880653,0.431212302,0.009269344,0.000400477,0.12261243,0.004704403,341000000.0,0.010265189,0.117641503,0.636583985,0.458229897,0.561378888,0.82148615,0.02335153,0
0.491200702,0.556094636,0.544943519,0.114687721,0.169145843,0.169145843,0.169145843,0.218209322,0.102678935,0.173834451,0.159567071,0.840432929,0.005216084,0.380968411,0.102691876,0.172852726,0.136431784,0.000302599,0.033303468,0.397559983,0.727896165,0.32047974,0.003094738,0.00010866,0.150985391,0.018188526,242000000.0,0.262747468,0.110933234,0.627461084,0.456798875,0.585714717,0.802420205,0.022579896,0
0.552235168,0.600741387,0.59055624,0.251543679,0.201972104,0.201972104,0.201972104,0.242601872,0.115870043,0.198689463,0.06270218,0.93729782,0.006171197,0.369637181,0.115874412,0.197737727,0.088455772,0.000279904,0.012240941,0.400985957,0.813210301,0.364662734,0.180805778,0.021648838,0.043937182,0.021510425,0.00023094,0.153567333,0.110933234,0.651251245,0.46252887,0.631720959,0.835265759,0.061531055,0
0.530785356,0.598288269,0.589378446,0.006275939,0.18692849,0.18692849,0.18692849,0.240143708,0.121732758,0.191007005,0.120355534,0.879644466,0.005324593,0.373155544,0.12175322,0.189902722,0.154422789,0.000366145,0.031308844,0.408618077,0.825815116,0.482239037,0.047580235,0.002015158,0.12508749,0.032773915,3630000000.0,0.277122564,0.110933234,0.66102102,0.463079909,0.640346789,0.83149302,0.031060842,0
0.496319407,0.554132141,0.546388993,0.0,0.20256205,0.20256205,0.20256205,0.223692919,0.09657194,0.178654817,0.133234574,0.866765426,0.005416611,0.374782758,0.09655251,0.177369731,0.047976012,8090000000.0,0.011203972,0.392664119,0.752338294,0.058013931,0.018207277,0.00283077,0.033727399,0.008302049,4440000000.0,0.297007821,0.120745606,0.648617373,0.460358982,0.573194817,0.806582438,0.027742998,0
0.58518988,0.641681204,0.62680015,0.175118939,0.222999452,0.222999452,0.222999452,0.287321547,0.140949434,0.243579122,0.14983221,0.85016779,0.005768084,0.372927398,0.140944843,0.241444838,0.254872564,0.000863164,0.023994242,0.399708283,0.799880065,0.456611612,0.033987532,0.001901457,0.094579424,0.027612405,1740000000.0,0.166857543,0.118298566,0.649968367,0.460472123,0.650729247,0.849780378,0.024283207,0
0.599083508,0.64745966,0.642914503,0.130782468,0.215877966,0.215877966,0.215877966,0.27588163,0.13386532,0.226406568,0.102185809,0.897814191,0.005768585,0.372713791,0.133820249,0.224605987,0.092953523,0.00022241,0.016867647,0.408199724,0.799915895,0.362248449,0.04024462,0.003012502,0.070567032,0.011445735,5090000000.0,0.195712392,0.114141005,0.648420717,0.460626314,0.638484204,0.857985872,0.037101874,0
0.475698338,0.537887048,0.525670539,0.054054054,0.198685264,0.198685264,0.198685264,0.215562069,0.098770458,0.171800859,0.068023098,0.931976902,0.005698563,0.371146968,0.098742814,0.170824221,0.113943028,0.00025494,0.013968245,0.393308609,0.873308947,0.544181731,0.214871201,0.015931616,0.071247161,0.027291034,0.000208825,0.222258472,0.110933234,0.639973776,0.458203923,0.567553274,0.799245439,0.056675298,0
0.514649247,0.579971653,0.56598319,0.060734892,0.188024103,0.188024103,0.188024103,0.235794649,0.11521863,0.187994276,0.147201983,0.852798017,0.005527011,0.377365053,0.115174166,0.187037177,0.145427286,0.000294278,0.013768488,0.396689356,0.82035895,0.354101551,0.078276039,0.004377505,0.094616433,0.039714757,6180000000.0,0.241758401,0.121909061,0.674031244,0.464658615,0.603028989,0.820147787,0.024783683,0
0.497343148,0.55484082,0.54317683,0.249519182,0.181366146,0.181366146,0.181366146,0.222747471,0.103411774,0.178730135,0.09879977,0.90120023,0.005674842,0.371710622,0.103400264,0.177754317,0.127436282,0.000351015,0.014940587,0.395185545,0.786988949,0.272261521,0.052937483,0.002973833,0.094189226,0.039497934,4330000000.0,0.197279706,0.110933234,0.628805564,0.455683046,0.578181105,0.809912381,0.03847061,0
0.454589772,0.507250327,0.503185395,0.0,0.160886604,0.160886604,0.160886604,0.207809398,0.087289309,0.164419673,0.136681077,0.863318923,0.005433102,0.374685461,0.087262039,0.163471835,0.139430285,0.000294278,0.006483263,0.390244454,0.758858868,0.322970709,0.035274571,0.00166538,0.112164245,0.049421204,2790000000.0,0.236837554,0.11416782,0.633261742,0.457476174,0.546420564,0.781259416,0.02695891,0
0.469214644,0.522514174,0.518496708,0.0,0.176393747,0.176393747,0.176393747,0.210551196,0.096327661,0.166302629,0.120990416,0.879009584,0.005510688,0.374198974,0.096316381,0.165372144,0.101949025,0.000214089,0.013460041,0.392449289,0.783739293,0.375341784,0.088544416,0.005091264,0.092010673,0.019367457,940000000.0,0.253310606,0.116808675,0.662123401,0.463291551,0.603759,0.789536219,0.030883103,1
0.55204017,0.628815962,0.60806253,0.050409961,0.19763179,0.19763179,0.19763179,0.243641864,0.120511359,0.197635008,0.033497597,0.966502403,0.005744502,0.369637181,0.120499292,0.196493477,0.136431784,0.000254183,0.014215002,0.40161914,0.851287345,0.435189613,0.127709164,0.021192264,0.031569859,0.02460398,0.000103116,0.244248807,0.110933234,0.663200862,0.473311025,0.670023496,0.852621542,0.112345555,0
0.473894603,0.527747492,0.525991755,0.0,0.174371076,0.174371076,0.174371076,0.211874823,0.095106262,0.167959629,0.151888019,0.848111981,0.005509631,0.380045763,0.095103164,0.167023603,0.103448276,0.000186098,0.026170997,0.39187264,0.846059579,0.459031321,0.040349266,0.00243702,0.087572037,0.008307879,4580000000.0,0.255156912,0.124593641,0.642993025,0.459285161,0.504942858,0.79181949,0.023907992,0
0.531857846,0.588693851,0.584667273,0.102237069,0.205722473,0.205722473,0.205722473,0.244398223,0.12262845,0.196580553,0.115760196,0.884239804,0.005369281,0.374087138,0.122583745,0.195565945,0.106446777,0.000192907,0.021039026,0.404468465,0.8267134,0.465773246,0.185517389,0.010522325,0.093283784,0.017845464,0.00019534,0.302918539,0.115205033,0.666105287,0.464335618,0.627452907,0.828043421,0.032416087,0
0.43889241,0.502071522,0.484126559,0.0,0.162951414,0.162951414,0.162951414,0.20686395,0.088510708,0.166001356,0.015206941,0.984793059,0.009171076,0.369637181,0.08852411,0.165025262,0.043478261,0.000292008,0.003595611,0.387926551,0.975642236,0.871059173,0.029432687,0.008279025,0.018428298,0.039197423,7190000000.0,0.060296646,0.110933234,0.614313146,0.420998328,0.47957605,0.778555791,0.221132904,0
0.438989909,0.475741387,0.481449756,0.0,0.182546037,0.182546037,0.182546037,0.202420346,0.085416497,0.160352489,0.019137165,0.980862835,0.005406934,0.369740071,0.088906802,0.162800694,0.04047976,4610000000.0,0.00332829,0.387315981,0.873803068,0.476043644,0.365452491,0.081518741,0.023363221,0.020506215,0.001171003,0.383276794,0.110933234,0.731335572,0.557816378,0.549214115,0.768426727,0.183540078,0
0.51884171,0.59218273,0.57412067,0.040489928,0.189498968,0.189498968,0.189498968,0.258012669,0.134761013,0.205844694,0.209269281,0.790730719,0.007505981,0.392145306,0.134756624,0.204924214,0.074962519,0.001116591,0.056428183,0.443601456,0.8190487,0.438051646,0.066539845,0.001621872,0.21770339,0.007439351,0.000122197,0.030191941,0.110933234,0.648088269,0.459908098,0.402299072,0.824202282,0.016304718,0
0.495149417,0.564053642,0.546817281,0.000708574,0.174118242,0.174118242,0.174118242,0.221329299,0.098037619,0.17767568,0.12528343,0.87471657,0.006107488,0.37431752,0.098018141,0.175793681,0.190404798,0.000715647,0.050414935,0.395015943,0.786882763,0.432942565,0.087260012,0.004181289,0.110505373,0.036984947,5740000000.0,0.123467581,0.112342817,0.674439779,0.465651265,0.581999237,0.810481951,0.029716917,0
0.494369424,0.542139119,0.549119332,0.148395587,0.177405082,0.177405082,0.177405082,0.215562069,0.096246234,0.171047676,0.100311395,0.899688605,0.005197396,0.374514352,0.096153533,0.17006259,0.107946027,0.000124822,0.011295037,0.392313607,0.790265772,0.108987999,0.02770118,0.002238213,0.065340827,0.024759824,2580000000.0,0.464754991,0.116639924,0.641222764,0.45884679,0.624007588,0.798274674,0.037854862,0
0.476965827,0.545082861,0.527651373,0.177548335,0.191184527,0.191184527,0.191184527,0.224543821,0.106668838,0.179483317,0.16222753,0.83777247,0.007010405,0.3770877,0.106494374,0.178538572,0.044977511,0.000472811,0.138413407,0.454569096,0.840911536,0.07257744,0.044734454,0.001453966,0.163143597,0.009208442,9360000000.0,0.058326332,0.112062039,0.655699145,0.461285687,0.661930512,0.805763613,0.022150845,0
0.500755618,0.560346707,0.545371808,0.26773965,0.17584594,0.17584594,0.17584594,0.229649239,0.122139891,0.185885366,0.180276325,0.819723675,0.005524703,0.377070924,0.121321673,0.184940804,0.16191904,0.000569643,0.053073454,0.410800299,0.785842042,0.556959184,0.133117702,0.004224354,0.167104288,0.026798352,8270000000.0,0.160597512,0.115750362,0.636521517,0.458363854,0.671646384,0.812662786,0.019555634,0
0.502218106,0.541757523,0.557952781,0.055369977,0.183683789,0.183683789,0.183683789,0.218492956,0.099747578,0.173608496,0.183420504,0.816579496,0.004961023,0.38401147,0.099581481,0.172739612,0.091454273,635000000.0,0.017928117,0.393749576,0.724664183,0.151545647,0.021585081,0.001104063,0.103493071,0.015449395,2690000000.0,0.75591775,0.131859827,0.646493752,0.459772473,0.588512369,0.800253662,0.019153221,0
0.511236777,0.561218927,0.570854971,0.0,0.167923813,0.167923813,0.167923813,0.220194762,0.099829004,0.174436996,0.066723101,0.933276899,0.005057241,0.371569709,0.099785041,0.173275017,0.062968516,4390000000.0,0.006571391,0.394868954,0.792200351,0.263050744,0.05866499,0.007395706,0.041706527,0.013868902,0.000114902,0.726501218,0.114775267,0.624438488,0.452452364,0.581255772,0.811256995,0.057804997,0
0.479354556,0.532272133,0.531452433,0.0,0.172643378,0.172643378,0.172643378,0.208282122,0.098689032,0.168562175,0.153701968,0.846298032,0.005192669,0.378010347,0.098579966,0.167589171,0.095952024,0.000118014,0.011579983,0.393263382,0.744675475,0.242064064,0.038437434,0.002226515,0.091330265,0.033834616,4530000000.0,0.406684516,0.12327144,0.65418797,0.461143332,0.60396459,0.79239256,0.023583315,0
0.532101594,0.604775403,0.592911826,0.0,0.198390291,0.198390291,0.198390291,0.242507327,0.120104226,0.192287414,0.075490522,0.924509478,0.005801009,0.370710808,0.119277932,0.190558781,0.110944528,0.000319242,0.011136407,0.399753511,0.861120989,0.584131965,0.309898794,0.02201151,0.074394643,0.033619286,0.000314396,0.194754364,0.110933234,0.578185322,0.438009272,0.61912622,0.837294536,0.05097619,0
0.426900015,0.488170519,0.476899192,0.0,0.181745396,0.181745396,0.181745396,0.202514891,0.084846511,0.159825262,0.034918523,0.965081477,0.006133656,0.369637181,0.08481932,0.15862303,0.08095952,0.000249644,0.027986428,0.376585785,0.87813156,0.241684671,0.211750282,0.224155588,0.004545888,0.008114717,0.000263761,0.176245595,0.110933234,0.667344029,0.475560262,0.618572581,0.769285055,0.108066897,0
